# PcbXY Version 1.0
# Date: Sun 28 Jul 2013 22:21:57 GMT UTC
# Author: Richard Barlow
# Title: Power Board - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mm.  rotation in degrees.
# --------------------------------------------
R327,"sr_0603","sr-r-10k",90.80,50.86,90,bottom
C308,"sr_0603","sr-c-2n2",107.70,47.34,270,bottom
Q305,"SOT323","sr-fet-p-mmbf2202pt1",101.61,40.69,0,bottom
R324,"sr_0603","sr-r-1k",99.00,40.70,90,bottom
C310,"sr_0603","sr-c-100n",102.80,37.74,90,bottom
R331,"sr_0603","sr-r-1k",101.20,37.74,90,bottom
(unknown),"hole-M3","(unknown)",6.50,94.20,0,top
(unknown),"hole-M3","(unknown)",6.50,5.90,0,top
(unknown),"hole-M3","(unknown)",123.20,72.10,0,top
(unknown),"hole-M3","(unknown)",127.60,30.10,0,top
J203,"minicamcon2","sr-cn-minicamcon2w",27.00,6.90,180,bottom
Q205,"SOT23","sr-fet-n-irlml2030",27.21,12.89,270,top
D208,"SOT23","sr-ic-ts2431",30.69,12.89,90,top
R249,"sr_0603","sr-r-10k",34.10,9.86,270,top
R250,"sr_0603","sr-r-9k1",34.10,12.64,270,top
R248,"sr_0603","sr-r-10k",28.64,9.90,180,top
J100,"fpc4-1.fp","sr-cn-fpc4-0.5mm-top",26.35,71.09,90,top
F202,"1206","sr-fuse-r50-1206",11.70,23.10,180,top
C218,"1210","sr-c-22u-1210",14.20,72.10,180,bottom
C219,"1210","sr-c-22u-1210",33.50,6.30,0,top
J204,"JUMPER4","sr-cn-socket4",21.20,52.99,270,bottom
C317,"sr_0603","sr-c-100n",103.90,45.86,90,bottom
D302,"DO214AC","sr-d-15mq040n",111.75,55.60,0,bottom
C314,"1210","sr-c-22u-1210",89.35,55.60,270,bottom
Q308,"SOT323","sr-fet-n-sn7002w",87.56,47.94,180,bottom
C306,"1210","sr-c-22u-1210",112.40,49.90,0,bottom
C307,"1210","sr-c-22u-1210",112.40,45.30,0,bottom
C313,"1210","sr-c-22u-1210",84.90,55.60,270,bottom
U302,"TSSOP8","sr-ic-lm3489",98.85,46.92,0,bottom
C309,"sr_0603","sr-c-10p-50v",92.65,50.86,90,bottom
Q307,"SOT23","sr-fet-p-pmv65xp",106.91,50.99,180,bottom
U100,"SOT262","sr-ic-tb62752afug",33.26,74.01,270,top
U304,"SOT25_2","sr-ic-ts321",142.90,40.66,180,top
F301,"fuse_ato_1","sr-cn-fuse-ato",147.60,25.30,180,top
C319,"sr_0603","sr-c-100n",87.41,50.25,0,bottom
R301,"0805","sr-r-75k-0.1-0805",137.01,58.38,180,top
C320,"sr_0603","sr-c-100n",133.76,58.29,180,top
R305,"sr_0603","sr-r-15k-0.1",131.17,58.30,180,top
R333,"sr_0603","sr-r-100k",126.10,22.50,270,bottom
D304,"DO214AC","sr-d-smaj16a",150.00,31.30,0,bottom
C321,"RCY200P_2","sr-c-470u-16v",147.34,42.12,270,bottom
R320,"sr_0603","sr-r-15k-0.1",138.30,45.20,180,bottom
C322,"sr_0603","sr-c-470n",128.95,17.15,0,bottom
C323,"sr_0603","sr-c-470n",79.85,8.85,180,top
USB-J2,"USB_A_plug_1","sr-cn-usb-a-plug",135.25,75.10,90,top
USB-J1,"JUMPER4","sr-cn-header4tp",130.20,75.07,90,bottom
